"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 20:11:31 UTC 2025","Sat Aug 09 20:11:31 UTC 2025","203","tests","test_homepage","","","","test_change_category[Monitors-Dell i7 8gb-False]",""
"passed","Sat Aug 09 20:11:02 UTC 2025","Sat Aug 09 20:11:06 UTC 2025","3505","tests","test_cartpage","","","","test_check_price_cart",""
"passed","Sat Aug 09 20:11:29 UTC 2025","Sat Aug 09 20:11:30 UTC 2025","164","tests","test_homepage","","","","test_change_category[Laptops-Nexus 6-False]",""
"passed","Sat Aug 09 20:11:56 UTC 2025","Sat Aug 09 20:11:57 UTC 2025","1046","tests","test_productpage","","","","test_add_cart[Nokia lumia 1520]",""
"passed","Sat Aug 09 20:12:03 UTC 2025","Sat Aug 09 20:12:05 UTC 2025","2179","tests","test_userdata","","","","test_log_sign",""
"failed","Sat Aug 09 20:11:40 UTC 2025","Sat Aug 09 20:11:41 UTC 2025","1154","tests","test_invalid","","","","test_invalid_signup[data2-False]",""
"passed","Sat Aug 09 20:11:36 UTC 2025","Sat Aug 09 20:11:37 UTC 2025","1136","tests","test_invalid","","","","test_invalid_signup[data0-False]",""
"passed","Sat Aug 09 20:11:30 UTC 2025","Sat Aug 09 20:11:31 UTC 2025","186","tests","test_homepage","","","","test_change_category[Monitors-Apple monitor 24-True]",""
"passed","Sat Aug 09 20:11:53 UTC 2025","Sat Aug 09 20:11:53 UTC 2025","539","tests","test_productpage","","","","test_product_name[Sony vaio i7]",""
"passed","Sat Aug 09 20:11:07 UTC 2025","Sat Aug 09 20:11:13 UTC 2025","6159","tests","test_e2e","","","","test_e2e_one[Apple monitor 24-Nokia lumia 1520]",""
"passed","Sat Aug 09 20:11:35 UTC 2025","Sat Aug 09 20:11:36 UTC 2025","265","tests","test_homepage","","","","test_next_table",""
"passed","Sat Aug 09 20:11:38 UTC 2025","Sat Aug 09 20:11:39 UTC 2025","1120","tests","test_invalid","","","","test_invalid_signup[data1-False]",""
"passed","Sat Aug 09 20:11:54 UTC 2025","Sat Aug 09 20:11:55 UTC 2025","414","tests","test_productpage","","","","test_product_name[Iphone 6 32gb]",""
"passed","Sat Aug 09 20:11:13 UTC 2025","Sat Aug 09 20:11:19 UTC 2025","5988","tests","test_e2e","","","","test_e2e_one[MacBook air-Iphone 6 32gb]",""
"passed","Sat Aug 09 20:11:47 UTC 2025","Sat Aug 09 20:11:48 UTC 2025","1022","tests","test_invalid","","","","test_invalid_login[data2-False]",""
"passed","Sat Aug 09 20:11:32 UTC 2025","Sat Aug 09 20:11:33 UTC 2025","1060","tests","test_homepage","","","","test_carousel[.carousel-control-next]",""
"passed","Sat Aug 09 20:11:58 UTC 2025","Sat Aug 09 20:11:59 UTC 2025","1029","tests","test_productpage","","","","test_add_cart[Sony xperia z5]",""
"passed","Sat Aug 09 20:11:20 UTC 2025","Sat Aug 09 20:11:26 UTC 2025","6114","tests","test_e2e","","","","test_e2e_one[Dell i7 8gb-Sony vaio i5]",""
"passed","Sat Aug 09 20:11:55 UTC 2025","Sat Aug 09 20:11:56 UTC 2025","379","tests","test_productpage","","","","test_product_name[HTC One M9]",""
"passed","Sat Aug 09 20:12:01 UTC 2025","Sat Aug 09 20:12:02 UTC 2025","886","tests","test_productpage","","","","test_add_cart[Nexus 6]",""
"passed","Sat Aug 09 20:11:28 UTC 2025","Sat Aug 09 20:11:28 UTC 2025","195","tests","test_homepage","","","","test_change_category[Phones-Sony vaio i7-False]",""
"passed","Sat Aug 09 20:11:29 UTC 2025","Sat Aug 09 20:11:29 UTC 2025","189","tests","test_homepage","","","","test_change_category[Laptops-Sony vaio i5-True]",""
"failed","Sat Aug 09 20:11:51 UTC 2025","Sat Aug 09 20:11:51 UTC 2025","529","tests","test_invalid","","","","test_feedback_invalid",""
"passed","Sat Aug 09 20:11:27 UTC 2025","Sat Aug 09 20:11:27 UTC 2025","152","tests","test_homepage","","","","test_change_category[Phones-Samsung galaxy s6-True]",""
"failed","Sat Aug 09 20:11:49 UTC 2025","Sat Aug 09 20:11:50 UTC 2025","1291","tests","test_invalid","","","","test_cart_invalid",""
"passed","Sat Aug 09 20:12:06 UTC 2025","Sat Aug 09 20:12:06 UTC 2025","584","tests","test_userdata","","","","test_feedback",""
"passed","Sat Aug 09 20:11:52 UTC 2025","Sat Aug 09 20:11:52 UTC 2025","437","tests","test_productpage","","","","test_product_name[Samsung galaxy s6]",""
"passed","Sat Aug 09 20:11:45 UTC 2025","Sat Aug 09 20:11:46 UTC 2025","1155","tests","test_invalid","","","","test_invalid_login[data1-False]",""
"passed","Sat Aug 09 20:11:43 UTC 2025","Sat Aug 09 20:11:45 UTC 2025","1138","tests","test_invalid","","","","test_invalid_login[data0-False]",""
"failed","Sat Aug 09 20:11:42 UTC 2025","Sat Aug 09 20:11:43 UTC 2025","1031","tests","test_invalid","","","","test_invalid_signup[data3-False]",""
"passed","Sat Aug 09 20:11:34 UTC 2025","Sat Aug 09 20:11:35 UTC 2025","1038","tests","test_homepage","","","","test_carousel[.carousel-control-prev]",""
"passed","Sat Aug 09 20:12:00 UTC 2025","Sat Aug 09 20:12:01 UTC 2025","959","tests","test_productpage","","","","test_add_cart[Samsung galaxy s7]",""
